,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
0,-8.46875,-5.47265625,-7.0859375,-7.04296875,-6.20703125,-6.93359375
1,-7.19921875,-7.0390625,-7.75390625,-8.5859375,-7.48046875,-7.28125
2,-5.9921875,-5.76171875,-5.47265625,-6.4921875,-6.6484375,-5.94140625
3,-7.84765625,-8.2734375,-8.78125,-9.5859375,-9.640625,-10.203125
4,-7.92578125,-7.140625,-7.265625,-6.92578125,-6.4296875,-6.4921875
5,-6.828125,-5.01953125,-4.40625,-6.10546875,-6.53515625,-5.6640625
6,-8.0234375,-6.0078125,-5.94921875,-5.4765625,-6.0078125,-7.5703125
7,-7.29296875,-6.890625,-6.7890625,-6.75,-7.01171875,-7.0625
8,-7.01171875,-5.14453125,-5.5,-5.26171875,-5.64453125,-5.87109375
9,-7.94140625,-5.78515625,-5.78515625,-4.8046875,-5.04296875,-4.6328125
10,-6.82421875,-5.953125,-6.8515625,-6.7578125,-6.46875,-5.9296875
11,-7.8046875,-7.23046875,-6.13671875,-6.14453125,-6.96875,-6.80078125
12,-8.2265625,-6.8828125,-5.66015625,-6.59375,-7.40625,-5.671875
13,-6.734375,-5.8984375,-6.15625,-6.4453125,-6.9765625,-5.93359375
14,-8.2578125,-6.7578125,-5.3046875,-5.28125,-5.5390625,-5.86328125
15,-8.0234375,-5.078125,-4.37890625,-2.8125,-5.828125,-6.35546875
16,-7.14453125,-6.33203125,-6.47265625,-5.74609375,-4.25390625,-5.44921875
17,-7.58203125,-6.30078125,-7.5859375,-6.06640625,-7.39453125,-6.26953125
18,-7.11328125,-5.87890625,-5.79296875,-5.75390625,-6.40625,-6.90234375
19,-6.73046875,-4.88671875,-6.00390625,-6.53125,-6.421875,-6.78515625
