,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
0,-7.48046875,-5.08203125,-6.62890625,-6.51953125,-5.75,-6.93359375
1,-7.3515625,-6.796875,-8.0625,-8.2890625,-5.62109375,-7.28125
2,-7.05859375,-6.09765625,-4.82421875,-5.31640625,-5.28515625,-5.94140625
3,-7.01953125,-7.0390625,-9.1328125,-9.796875,-9.703125,-10.203125
4,-7.55078125,-7.203125,-7.5234375,-7.73828125,-6.44921875,-6.4921875
5,-7.515625,-5.42578125,-4.52734375,-5.796875,-6.37109375,-5.6640625
6,-7.40234375,-6.1328125,-6.5625,-5.2734375,-5.41015625,-7.5703125
7,-7.03125,-7.69921875,-7.5,-8.6796875,-6.41015625,-7.0625
8,-6.9296875,-5.0390625,-5.40234375,-5.17578125,-4.7890625,-5.87109375
9,-7.75,-5.953125,-5.48046875,-4.109375,-4.80078125,-4.6328125
10,-7.76953125,-6.1640625,-7.5546875,-6.84375,-6.421875,-5.9296875
11,-8.265625,-7.1484375,-6.80078125,-6.8359375,-7.08203125,-6.80078125
12,-7.94921875,-7.42578125,-6.09765625,-5.13671875,-6.83984375,-5.671875
13,-6.84375,-5.9609375,-5.98828125,-5.0,-6.09375,-5.93359375
14,-8.71875,-7.203125,-6.8984375,-6.07421875,-4.87890625,-5.86328125
15,-7.21484375,-5.58984375,-4.46875,-3.759765625,-5.85546875,-6.35546875
16,-7.12109375,-7.82421875,-8.0703125,-5.6875,-3.5078125,-5.44921875
17,-7.15234375,-5.94140625,-7.1328125,-5.93359375,-6.6953125,-6.26953125
18,-7.3828125,-5.54296875,-4.98046875,-5.3671875,-6.171875,-6.90234375
19,-6.87890625,-4.91796875,-5.94140625,-6.28515625,-5.984375,-6.78515625
