,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion
0,-4.4140625,-3.623046875,-2.814453125,-2.150390625,-4.06640625,-4.91796875
1,-3.876953125,-6.5078125,-7.95703125,-7.2265625,-7.11328125,-6.65234375
2,-3.513671875,-6.97265625,-7.8828125,-7.953125,-7.8828125,-7.375
3,-4.38671875,-4.99609375,-6.640625,-6.5703125,-6.375,-6.375
4,-3.84375,-4.94140625,-5.21875,-5.5703125,-3.076171875,-5.3359375
5,-4.98828125,-5.81640625,-7.08984375,-7.28515625,-7.22265625,-6.9375
6,-3.435546875,-7.40625,-8.3984375,-8.296875,-8.0703125,-7.50390625
7,-3.708984375,-3.962890625,-4.57421875,-5.8359375,-5.96875,-6.47265625
8,-3.3671875,-5.46484375,-7.76171875,-7.96484375,-8.109375,-7.15625
9,-4.1484375,-7.11328125,-8.03125,-7.91015625,-7.875,-7.4921875
10,-3.6328125,-3.767578125,-4.078125,-3.30078125,-7.5,-7.0546875
11,-4.19140625,-3.6953125,-6.67578125,-6.6015625,-6.56640625,-5.80859375
12,-3.8203125,-6.16015625,-7.46875,-7.33203125,-7.2109375,-6.234375
13,-3.01953125,-5.21875,-7.0703125,-6.98046875,-6.30078125,-6.09375
14,-3.814453125,-3.333984375,-5.59375,-6.03515625,-5.0234375,-6.53515625
15,-3.41015625,-7.09375,-7.38671875,-7.1328125,-6.734375,-6.80078125
16,-4.14453125,-7.87890625,-8.015625,-8.109375,-8.0234375,-8.1875
17,-3.45703125,-5.40234375,-5.71875,-4.83203125,-6.265625,-5.15234375
18,-3.263671875,-6.25390625,-7.625,-7.625,-7.45703125,-6.8125
19,-3.638671875,-5.28515625,-3.5625,-3.93359375,-4.640625,-6.28515625
