,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion
0,0.0520833333333333,0.0729166666666666,0.046875,0.015625,0.0416666666666666,0.0677083333333333
1,0.0520833333333333,0.0885416666666666,0.0625,0.015625,0.0052083333333333,0.078125
2,0.046875,0.015625,0.0208333333333333,0.0052083333333333,0.046875,0.0677083333333333
3,0.0833333333333333,0.046875,0.0364583333333333,0.0260416666666666,0.0625,0.1197916666666666
4,0.0364583333333333,0.0260416666666666,0.03125,0.0104166666666666,0.0208333333333333,0.0208333333333333
5,0.0260416666666666,0.015625,0.0208333333333333,0.0104166666666666,0.0260416666666666,0.0208333333333333
6,0.0260416666666666,0.1197916666666666,0.015625,0.0260416666666666,0.046875,0.0989583333333333
7,0.0729166666666666,0.0260416666666666,0.0625,0.0208333333333333,0.1197916666666666,0.0052083333333333
8,0.0677083333333333,0.03125,0.015625,0.015625,0.0,0.0260416666666666
9,0.0520833333333333,0.0416666666666666,0.078125,0.0364583333333333,0.03125,0.0364583333333333
10,0.0833333333333333,0.046875,0.0625,0.0729166666666666,0.390625,0.1354166666666666
11,0.0729166666666666,0.0572916666666666,0.0520833333333333,0.0416666666666666,0.0416666666666666,0.109375
12,0.0416666666666666,0.125,0.0520833333333333,0.046875,0.0885416666666666,0.1458333333333333
13,0.0364583333333333,0.03125,0.09375,0.09375,0.03125,0.0260416666666666
14,0.0416666666666666,0.0677083333333333,0.0625,0.0416666666666666,0.015625,0.0729166666666666
15,0.046875,0.0260416666666666,0.0052083333333333,0.0052083333333333,0.0,0.015625
16,0.0885416666666666,0.0416666666666666,0.0885416666666666,0.0729166666666666,0.0833333333333333,0.0520833333333333
17,0.0572916666666666,0.078125,0.1302083333333333,0.0833333333333333,0.0520833333333333,0.109375
18,0.0572916666666666,0.0572916666666666,0.0989583333333333,0.0833333333333333,0.125,0.1510416666666666
19,0.0520833333333333,0.0208333333333333,0.0208333333333333,0.0104166666666666,0.0364583333333333,0.020833333333333332
