,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo
0,-0.9130859375,-3.2265625,-3.734375,-7.46875,-6.77734375,-6.58984375
1,-0.84814453125,-2.859375,-2.86328125,-1.4482421875,-4.07421875,-6.4140625
2,-1.1640625,-8.875,-8.953125,-8.546875,-8.515625,-8.984375
3,-1.2998046875,-2.517578125,-2.88671875,-3.908203125,-2.275390625,-6.59765625
4,-1.14453125,-2.833984375,-2.60546875,-6.06640625,-5.875,-6.8671875
5,-1.087890625,-4.68359375,-4.03515625,-6.94921875,-8.75,-8.7265625
6,-1.04296875,-5.03515625,-6.5,-9.59375,-8.25,-8.2890625
7,-1.09375,-4.33984375,-6.46484375,-7.83984375,-8.2734375,-7.87890625
8,-1.349609375,-3.15234375,-3.474609375,-6.0234375,-4.61328125,-4.3203125
9,-1.330078125,-2.365234375,-4.73046875,-3.603515625,-5.40625,-5.0859375
10,-0.7470703125,-2.39453125,-6.87890625,-7.265625,-7.50390625,-6.16015625
11,-1.3857421875,-2.8125,-4.96875,-4.71875,-6.09765625,-6.59765625
12,-2.265625,-2.673828125,-2.728515625,-4.578125,-6.94921875,-7.109375
13,-1.5654296875,-2.92578125,-5.84765625,-7.18359375,-7.61328125,-7.2109375
14,-1.2431640625,-3.251953125,-6.3984375,-6.88671875,-8.1328125,-6.765625
15,-0.70263671875,-5.296875,-6.88671875,-6.52734375,-6.48828125,-4.375
16,-1.1015625,-1.52734375,-2.3046875,-2.208984375,-0.97216796875,-1.541015625
17,-0.9775390625,-4.4296875,-5.83203125,-6.546875,-7.6875,-7.7421875
18,-1.1064453125,-3.58984375,-6.79296875,-7.3125,-6.3359375,-8.3046875
19,-1.0595703125,-3.060546875,-3.63671875,-5.96875,-7.38671875,-7.36328125
