,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo
0,0.109375,0.0416666666666666,0.03125,0.0,0.0104166666666666,0.0
1,0.1145833333333333,0.0104166666666666,0.0416666666666666,0.0989583333333333,0.0260416666666666,0.0
2,0.0572916666666666,0.0,0.0,0.0,0.0,0.0
3,0.0677083333333333,0.0416666666666666,0.0364583333333333,0.03125,0.015625,0.015625
4,0.1354166666666666,0.1510416666666666,0.015625,0.0,0.0,0.0
5,0.03125,0.0,0.0052083333333333,0.0104166666666666,0.0052083333333333,0.0
6,0.0052083333333333,0.0,0.0,0.0,0.0,0.0
7,0.046875,0.03125,0.0104166666666666,0.0,0.0,0.0
8,0.078125,0.0572916666666666,0.0729166666666666,0.0,0.0104166666666666,0.0677083333333333
9,0.125,0.1041666666666666,0.0260416666666666,0.0885416666666666,0.0052083333333333,0.015625
10,0.0885416666666666,0.1770833333333333,0.0,0.0104166666666666,0.0,0.0052083333333333
11,0.0572916666666666,0.1510416666666666,0.046875,0.015625,0.0,0.015625
12,0.03125,0.0572916666666666,0.0208333333333333,0.0885416666666666,0.0364583333333333,0.0052083333333333
13,0.0833333333333333,0.0364583333333333,0.0,0.0,0.0,0.0
14,0.0364583333333333,0.015625,0.015625,0.0052083333333333,0.0052083333333333,0.0
15,0.1354166666666666,0.0364583333333333,0.0052083333333333,0.0052083333333333,0.0052083333333333,0.0364583333333333
16,0.1458333333333333,0.2083333333333333,0.21875,0.5572916666666666,0.265625,0.15625
17,0.1145833333333333,0.0,0.015625,0.0,0.0,0.0
18,0.0208333333333333,0.0,0.0,0.015625,0.015625,0.0
19,0.0989583333333333,0.1666666666666666,0.03125,0.015625,0.0,0.005208333333333333
