,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda
0,-4.12890625,-4.390625,-4.640625,-5.6171875,-4.90234375,-5.046875
1,-5.6328125,-5.6796875,-6.2109375,-5.53515625,-6.27734375,-5.98828125
2,-4.42578125,-5.015625,-5.57421875,-6.66796875,-6.88671875,-7.3515625
3,-3.482421875,-4.36328125,-5.3359375,-6.19140625,-5.84375,-5.2578125
4,-3.712890625,-5.30859375,-4.7734375,-6.62109375,-6.7734375,-6.42578125
5,-3.435546875,-4.92578125,-4.5,-5.69140625,-4.86328125,-6.0625
6,-4.68359375,-6.78515625,-7.0625,-7.1640625,-7.078125,-6.96484375
7,-4.5,-4.47265625,-4.59765625,-5.9140625,-6.52734375,-6.59375
8,-3.736328125,-5.4609375,-4.65234375,-6.40234375,-6.6796875,-7.13671875
9,-4.21875,-5.765625,-6.74609375,-6.88671875,-7.0390625,-7.12890625
10,-4.52734375,-3.498046875,-5.35546875,-6.76953125,-6.76171875,-6.74609375
11,-4.84375,-5.5,-5.125,-5.5078125,-7.203125,-8.0
12,-4.36328125,-5.01953125,-4.94921875,-5.51953125,-6.6640625,-6.89453125
13,-5.33984375,-4.7109375,-5.26171875,-6.03515625,-6.0234375,-6.16796875
14,-3.8671875,-5.19921875,-6.9375,-7.19140625,-6.4921875,-7.0234375
15,-4.1640625,-4.47265625,-7.29296875,-7.0390625,-6.5546875,-6.77734375
16,-4.125,-4.6953125,-5.125,-4.96484375,-5.9921875,-7.05859375
17,-3.744140625,-6.015625,-6.765625,-6.96484375,-6.69921875,-6.6640625
18,-4.59375,-5.1640625,-6.12890625,-6.16796875,-6.23828125,-6.1015625
19,-5.0078125,-5.43359375,-5.72265625,-6.50390625,-6.8359375,-7.55078125
