,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
000,-0.5874679088592529,-2.556217908859253,-3.415592908859253,-6.485905647277832,-4.610905885696383,-2.998523708898574,-3.3220522184710717,-7.353093385696383,-3.68318293010816,-9.993732333082335
001,-0.6254449486732483,-1.3129448890686035,-4.8598198890686035,-6.4145073890686035,-5.1254448890686035,-4.798101239022799,-3.125618919482804,-6.250445485114881,-4.235243230854394,-8.59421563127944
002,-0.5633103251457214,-1.4383103847503662,-4.844560146331787,-6.907060146331787,-5.000810146331787,-5.189134138985537,-2.6728339084947947,-6.000810861587297,-3.78253639335162,-8.555521487916849
003,-0.6463803052902222,-1.1307553052902222,-5.537005424499512,-5.966692924499512,-5.802630424499512,-5.873609320784453,-3.1153045741084497,-5.607318639755022,-5.232755565230036,-8.372966646866189
004,-0.31561148166656494,-3.4406113624572754,-4.456236362457275,-7.456236362457275,-4.901549458503553,-2.9137608646415174,-2.893978685577167,-7.995299100875826,-4.7004000674933195,-10.339070558322419
005,-0.3946610391139984,-1.5977860689163208,-5.191535949707031,-6.894660949707031,-5.691535949707031,-5.403188211494125,-3.2541780370811466,-6.4493490457533085,-4.8560338264505845,-8.910305738252646
006,-0.5103411674499512,-1.8228411674499512,-5.166591167449951,-6.916591167449951,-5.010341167449951,-4.5350364877376705,-2.3073425213078735,-6.424404144286996,-3.924952475586906,-8.68223977062189
007,-2.406764507293701,-0.9692646265029907,-5.664577007293701,-3.953639507293701,-5.852077007293701,-2.2085694782435894,-4.149153927442967,-5.125514864921513,-5.321482920087874,-7.211482762817468
008,-0.6696754693984985,-1.3884254693984985,-4.779050350189209,-5.974362850189209,-5.091550350189209,-5.998612193448935,-2.4511167819873663,-5.583738446235486,-4.099756401818013,-8.333764910345053
009,-0.5226085186004639,-1.4288585186004639,-4.881983757019043,-6.631983757019043,-5.483546257019043,-5.0546445142827,-3.0852441695751622,-6.25698435306532,-5.085586076282198,-8.725757837006313
010,-0.7419754266738892,-1.5232254266738892,-4.5310378074646,-6.0466628074646,-5.2497878074646,-6.032085227547213,-2.101536137473886,-5.710726261138461,-3.367411279992666,-8.11700296365052
011,-0.4469967484474182,-1.5251216888427734,-5.517309188842773,-6.736059188842773,-5.806371688842773,-5.401006188127212,-3.2909157133253757,-6.009497284889051,-5.416345059638843,-8.657956003904474
012,-0.614111065864563,-1.645361065864563,-4.785985946655273,-6.731298446655273,-5.239110946655273,-4.898060727166012,-2.473681788338581,-6.403174161910783,-3.7161163302953355,-8.7625775332981
013,-0.48274481296539307,-1.732744812965393,-5.2171196937561035,-6.3655571937561035,-4.4749321937561035,-4.164882635464892,-2.8266771865310147,-6.373370289802381,-4.217597370472504,-8.83432793596694
014,-0.5588400363922119,-1.418215036392212,-4.879152297973633,-6.871339797973633,-5.183839797973633,-5.012751627305988,-2.6996339416946284,-6.058840513229143,-4.371777081221808,-8.847924470655926
015,-0.548714280128479,-1.314339280128479,-5.5565266609191895,-6.7127766609191895,-6.1659016609191895,-5.7993273047031835,-3.6426516595529392,-5.923714756965467,-5.486603065190138,-8.665925264091129
016,-0.5615171790122986,-1.2646422386169434,-5.545892238616943,-6.647454738616943,-6.108392238616943,-5.530997724679764,-3.78824935904413,-5.788080453872453,-5.788605670910329,-8.506855606685349
017,-0.34801429510116577,-2.0198893547058105,-5.1605143547058105,-6.8714518547058105,-5.3323893547058105,-5.059972480521537,-3.1294100178492954,-6.348014950752088,-4.793759848311311,-8.871474265790312
018,-0.882358729839325,-1.3198587894439697,-4.577671051025391,-6.257358551025391,-4.866733551025391,-5.273890560667496,-1.9919135408999864,-5.890171885490076,-3.601545715238899,-7.6948918098642025
019,-0.5678772926330566,-3.3413147926330566,-4.028814792633057,-7.560064792633057,-2.8647526502608684,-2.664896740578115,-1.9118028725060867,-6.771002531051607,-4.280520295258611,-9.325709461962106
020,-0.6683746576309204,-1.2933746576309204,-4.824624538421631,-5.933999538421631,-4.901697158813477,-5.136755114013795,-2.6987539364636177,-5.768885254859754,-4.22242322951206,-8.651729702418379
021,-0.3718828558921814,-1.9656329154968262,-5.778132915496826,-6.442195415496826,-5.059382915496826,-4.498732762178406,-3.2705048152711242,-6.028133392333871,-4.59898588352371,-8.832842707373857
022,-0.5988867282867432,-1.1145117282867432,-5.481698989868164,-6.919198989868164,-5.466073989868164,-5.021326978050638,-3.302185877895681,-6.208262205123674,-6.044646997208474,-9.302037000330529
023,-0.820729672908783,-2.1644797325134277,-4.734792232513428,-7.641042232513428,-4.117604732513428,-3.3376408885233104,-2.2271169329906115,-6.414480328559705,-3.086991226708051,-8.69575226280358
024,-0.42723897099494934,-1.630363941192627,-5.528801441192627,-6.645988941192627,-5.435051441192627,-5.568677332892548,-2.7243360034481157,-6.310052275657313,-5.107384815055411,-9.153826236428358
025,-0.6206150054931641,-1.276865005493164,-4.839365005493164,-6.526865005493164,-5.089365005493164,-4.879198968759738,-2.714506616102881,-6.214365601539441,-4.589799667301122,-8.753451943099208
026,-0.823796272277832,-0.917546272277832,-5.370671272277832,-6.237858772277832,-5.550358772277832,-5.730778545199428,-3.4020752788201207,-6.019109368324109,-5.3788499161892105,-8.761318444960125
027,-0.8405944108963013,-1.1843444108963013,-4.746844291687012,-5.731219291687012,-5.035906791687012,-5.380399070796557,-2.418880092096515,-5.5905951261516975,-4.169238551694434,-8.114059924682806
028,-0.4674012064933777,-1.3892762660980225,-5.397088527679443,-6.811151027679443,-5.803338527679443,-6.218187023187056,-2.9206596524018096,-6.412714242934953,-4.936579493281897,-8.803360819578302
029,-0.9167882204055786,-0.8855382204055786,-4.455850601196289,-5.487100601196289,-5.057413101196289,-5.72990732092876,-2.8544390087627107,-5.401164054870151,-4.66724385364796,-7.963691353399554
030,-0.31653594970703125,-2.1446609497070312,-4.918098449707031,-6.964973449707031,-5.988410949707031,-5.731558100727852,-2.832338079024339,-6.254036664962541,-4.520023161137942,-9.050932883976202
031,-0.4675091505050659,-1.951884150505066,-5.0925092697143555,-7.0143842697143555,-4.8659467697143555,-4.117444823146798,-3.280142536823405,-6.4596972465514,-3.710097471048357,-8.295653581431907
032,-0.76708984375,-1.22021484375,-4.60302734375,-6.27490234375,-5.36865234375,-6.1196043726522475,-2.4235240051493747,-5.813965797423862,-3.8143874705710914,-8.00149512245116
033,-0.7466544508934021,-1.1529045104980469,-5.020092010498047,-6.551342010498047,-5.106029510498047,-5.262853219406679,-2.8718255612038774,-5.895092725753557,-4.559668647183571,-8.238869309052461
034,-0.8602850437164307,-1.2821600437164307,-4.797784805297852,-6.571222305297852,-5.055597305297852,-4.923645602597389,-2.4542431614827365,-5.922785401344129,-3.735832898702938,-8.204068183342315
035,-0.800004243850708,-1.268754243850708,-4.753129005432129,-5.925004005432129,-5.159379005432129,-5.832456104340963,-2.112698416924104,-5.698442459105991,-3.8629580898268614,-8.026594519222272
036,-0.28518810868263245,-2.6914381980895996,-4.9336256980896,-8.105500221252441,-4.42581343650815,-3.380744850845076,-3.0196580841802643,-7.308626055717411,-4.575232262373902,-9.449264645472795
037,-0.5362694263458252,-1.7237694263458252,-5.348769187927246,-6.489394187927246,-5.364394187927246,-4.827703403076157,-2.348946555663133,-5.934707283973523,-4.567964812158607,-8.325355171880801
038,-0.6440073251724243,-1.3940073251724243,-4.862757205963135,-6.550257205963135,-5.448694705963135,-4.535434520163108,-3.269189341168385,-5.909632802009412,-4.074102080339799,-8.6987166402414
039,-0.711504340171814,-1.102129340171814,-4.8599419593811035,-6.1724419593811035,-5.2505669593811035,-5.173104662622791,-2.899163829497411,-5.6802551746366134,-4.563438823213801,-8.399028896974414
040,-0.12211792916059494,-3.7158679962158203,-4.98149299621582,-7.39555549621582,-5.926805734634371,-4.553407101077028,-3.169149386580102,-8.051805853843632,-5.912049154518172,-11.184632301228703
041,-0.7159861922264099,-1.4034862518310547,-4.911298751831055,-6.497236251831055,-4.958173751831055,-5.451205612276681,-2.1692732441297267,-5.9191120862957405,-4.068135089590214,-8.208202361651274
042,-0.6307460069656372,-1.2244960069656372,-4.740120887756348,-6.279183387756348,-5.419808387756348,-5.725198975356761,-2.8027756094379583,-5.763559103011858,-4.334379781910684,-8.841707348536147
043,-0.34082046151161194,-2.137695550918579,-4.9501953125,-7.4501953125,-5.4345703125,-5.427776771015488,-2.4503624299977673,-6.71582102775551,-4.388101971911965,-9.387712597697828
044,-0.7892789244651794,-1.1486539840698242,-4.289278984069824,-6.133028984069824,-5.125216484069824,-4.6335581332677975,-2.86753975423926,-5.922092080116101,-4.258577196509577,-8.703368186594162
045,-0.29910001158714294,-3.002224922180176,-4.588162422180176,-7.119412422180176,-5.058245420455904,-3.3031022646464407,-2.6130714320170227,-7.347307920455904,-4.8250845447182655,-9.75357389436067
046,-0.7229323387145996,-1.2073073387145996,-4.7698073387146,-5.8244948387146,-5.0198073387146,-5.489069688192103,-2.8481262734276243,-5.386995673179285,-4.262389581970638,-8.660464286309434
047,-0.6775636672973633,-1.5681886672973633,-4.560376167297363,-6.521313667297363,-4.857251167297363,-4.616022961039562,-2.2558143060014118,-5.888501882552873,-4.201492308173329,-8.31821775394019
048,-0.9046671986579895,-0.9984171986579895,-4.889042377471924,-5.615604877471924,-4.787479877471924,-4.850524515553843,-2.7876466373272706,-5.279668092727434,-4.780046748666791,-8.44375765283803
