elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan,random
040,281,000,007,221,555,179,007,383,007,936
111,406,475,617,983,999,519,689,989,201,429
192,663,994,789,996,983,577,974,882,210,844
680,057,860,373,019,007,709,691,023,843,986
116,784,969,797,999,839,197,048,063,181,466
162,900,176,197,239,565,347,993,992,663,46
610,312,597,730,323,567,739,693,913,199,294
168,993,063,721,193,019,617,081,475,839,566
182,563,719,577,443,617,593,723,594,665,536
510,557,999,077,169,373,721,619,221,263,450
